year,quarter,city1,statecode1,metropolitan1,city2,statecode2,metropolitan2,airport_code1,airport_code2,average_fare,nsmiles,passengers,large_mkt_share_carrier,lms_carrier_name,mkt_share,lowest_fare_carrier,lf_carrier_name
2019,1,"Boston, MA (Metropolitan Area)",MA,1,"Columbus, OH",OH,0,MHT,CMH,219.88,640,21,AA,"American Airlines, Inc.",0.4607,AA,"American Airlines, Inc."
2019,1,"Chicago, IL",IL,0,"West Palm Beach/Palm Beach, FL",FL,0,MDW,PBI,251.56,1143,33,WN,Southwest Airlines,0.7211,WN,Southwest Airlines
2019,1,"Houston, TX",TX,0,"Omaha, NE",NE,0,HOU,OMA,174.96,804,125,WN,Southwest Airlines,0.9671,WN,Southwest Airlines
2019,1,"Boston, MA (Metropolitan Area)",MA,1,"Los Angeles, CA (Metropolitan Area)",CA,1,BOS,SNA,339.25,2611,110,AA,"American Airlines, Inc.",0.3626,UA,"United Air Lines, Inc."
2019,1,"New York City, NY (Metropolitan Area)",NY,1,"Sarasota/Bradenton, FL",FL,0,JFK,SRQ,206.89,1084,231,B6,Jetblue Airways Corporation,0.8967,B6,Jetblue Airways Corporation
2019,1,"Boston, MA (Metropolitan Area)",MA,1,"Savannah, GA",GA,0,PVD,SAV,217.03,917,28,AA,"American Airlines, Inc.",0.5976,UA,"United Air Lines, Inc."
2019,1,"Phoenix, AZ",AZ,0,"San Francisco, CA (Metropolitan Area)",CA,1,PHX,SJC,178.51,668,1235,WN,Southwest Airlines,0.6797,WN,Southwest Airlines
2019,1,"Omaha, NE",NE,0,"San Francisco, CA (Metropolitan Area)",CA,1,OMA,SFO,276.42,1433,150,UA,"United Air Lines, Inc.",0.694,WN,Southwest Airlines
2019,1,"Chicago, IL",IL,0,"San Diego, CA",CA,0,ORD,SAN,245.14,1728,1214,UA,"United Air Lines, Inc.",0.4537,NK,"Spirit Airlines, Inc."
2019,1,"Dallas/Fort Worth, TX",TX,0,"Las Vegas, NV",NV,0,DFW,LAS,208.4,1067,1798,AA,"American Airlines, Inc.",0.6555,NK,"Spirit Airlines, Inc."
2019,1,"San Francisco, CA (Metropolitan Area)",CA,1,"Spokane, WA",WA,0,SJC,GEG,185.61,742,121,WN,Southwest Airlines,0.6234,WN,Southwest Airlines
2019,1,"Savannah, GA",GA,0,"Washington, DC (Metropolitan Area)",DC,1,SAV,IAD,231,549,78,UA,"United Air Lines, Inc.",0.8902,UA,"United Air Lines, Inc."
2019,1,"Boston, MA (Metropolitan Area)",MA,1,"Raleigh/Durham, NC",NC,0,PVD,RDU,198.22,625,80,AA,"American Airlines, Inc.",0.4125,WN,Southwest Airlines
2019,1,"New York City, NY (Metropolitan Area)",NY,1,"Sarasota/Bradenton, FL",FL,0,EWR,SRQ,225.1,1084,345,UA,"United Air Lines, Inc.",0.9417,AA,"American Airlines, Inc."
2019,1,"New York City, NY (Metropolitan Area)",NY,1,"San Francisco, CA (Metropolitan Area)",CA,1,EWR,SFO,396.75,2619,3377,UA,"United Air Lines, Inc.",0.7937,AS,"Alaska Airlines, Inc."
2019,1,"Dallas/Fort Worth, TX",TX,0,"Minneapolis/St. Paul, MN",MN,0,DAL,MSP,169.92,853,143,WN,Southwest Airlines,0.9821,WN,Southwest Airlines
2019,1,"Albuquerque, NM",NM,0,"Dallas/Fort Worth, TX",TX,0,ABQ,DFW,254.65,580,228,AA,"American Airlines, Inc.",0.9795,UA,"United Air Lines, Inc."
2019,1,"New York City, NY (Metropolitan Area)",NY,1,"Tucson, AZ",AZ,0,SWF,TUS,332.4,2173,1,AA,"American Airlines, Inc.",0.8,AA,"American Airlines, Inc."
2019,1,"Austin, TX",TX,0,"Miami, FL (Metropolitan Area)",FL,1,AUS,FLL,185.46,1105,472,WN,Southwest Airlines,0.4608,B6,Jetblue Airways Corporation
2019,1,"Fort Myers, FL",FL,0,"Los Angeles, CA (Metropolitan Area)",CA,1,RSW,ONT,310.24,2238,18,AA,"American Airlines, Inc.",0.7654,AA,"American Airlines, Inc."
2019,1,"New York City, NY (Metropolitan Area)",NY,1,"Sarasota/Bradenton, FL",FL,0,LGA,SRQ,251.88,1084,173,DL,"Delta Air Lines, Inc.",0.9127,AA,"American Airlines, Inc."
2019,1,"Las Vegas, NV",NV,0,"New York City, NY (Metropolitan Area)",NY,1,LAS,EWR,273.88,2282,1777,UA,"United Air Lines, Inc.",0.7744,NK,"Spirit Airlines, Inc."
2019,1,"Atlanta, GA (Metropolitan Area)",GA,1,"Los Angeles, CA (Metropolitan Area)",CA,1,ATL,LAX,277.21,1947,3043,DL,"Delta Air Lines, Inc.",0.476,WN,Southwest Airlines
2019,1,"Boston, MA (Metropolitan Area)",MA,1,"Buffalo, NY",NY,0,BOS,BUF,107.94,395,395,B6,Jetblue Airways Corporation,0.6558,DL,"Delta Air Lines, Inc."
2019,1,"New Orleans, LA",LA,0,"Phoenix, AZ",AZ,0,MSY,PHX,277.7,1300,383,WN,Southwest Airlines,0.622,UA,"United Air Lines, Inc."
2019,1,"Reno, NV",NV,0,"San Francisco, CA (Metropolitan Area)",CA,1,RNO,SJC,119.7,192,293,WN,Southwest Airlines,0.5089,WN,Southwest Airlines
2019,1,"Los Angeles, CA (Metropolitan Area)",CA,1,"Pittsburgh, PA",PA,0,BUR,PIT,290.75,2136,21,WN,Southwest Airlines,0.6702,WN,Southwest Airlines
2019,1,"Grand Rapids, MI",MI,0,"Washington, DC (Metropolitan Area)",DC,1,GRR,IAD,206.06,528,27,UA,"United Air Lines, Inc.",0.7625,UA,"United Air Lines, Inc."
2019,1,"Kansas City, MO",MO,0,"Washington, DC (Metropolitan Area)",DC,1,MCI,IAD,280.9,967,100,UA,"United Air Lines, Inc.",0.854,UA,"United Air Lines, Inc."
2019,1,"Miami, FL (Metropolitan Area)",FL,1,"Richmond, VA",VA,0,FLL,RIC,147.54,825,422,B6,Jetblue Airways Corporation,0.7295,NK,"Spirit Airlines, Inc."
2019,1,"Jacksonville, FL",FL,0,"Los Angeles, CA (Metropolitan Area)",CA,1,JAX,SNA,343.44,2153,71,AA,"American Airlines, Inc.",0.3438,WN,Southwest Airlines
2019,1,"New York City, NY (Metropolitan Area)",NY,1,"Sacramento, CA",CA,0,LGA,SMF,211.42,2553,145,UA,"United Air Lines, Inc.",0.349,WN,Southwest Airlines
2019,1,"Chicago, IL",IL,0,"Houston, TX",TX,0,ORD,IAH,237.1,945,1494,UA,"United Air Lines, Inc.",0.6593,AA,"American Airlines, Inc."
2019,1,"Chicago, IL",IL,0,"San Francisco, CA (Metropolitan Area)",CA,1,MDW,OAK,245.83,1855,235,WN,Southwest Airlines,0.9939,WN,Southwest Airlines
2019,1,"Boston, MA (Metropolitan Area)",MA,1,"Rochester, NY",NY,0,MHT,ROC,231.69,343,6,AA,"American Airlines, Inc.",0.5517,DL,"Delta Air Lines, Inc."
2019,1,"Boston, MA (Metropolitan Area)",MA,1,"Los Angeles, CA (Metropolitan Area)",CA,1,PVD,BUR,216.67,2611,3,WN,Southwest Airlines,0.963,WN,Southwest Airlines
2019,1,"Pittsburgh, PA",PA,0,"Washington, DC (Metropolitan Area)",DC,1,PIT,BWI,181.8,210,110,WN,Southwest Airlines,0.9698,WN,Southwest Airlines
2019,1,"New York City, NY (Metropolitan Area)",NY,1,"Reno, NV",NV,0,EWR,RNO,312.36,2443,74,UA,"United Air Lines, Inc.",0.5682,WN,Southwest Airlines
2019,1,"Boise, ID",ID,0,"Phoenix, AZ",AZ,0,BOI,PHX,183.56,749,411,WN,Southwest Airlines,0.4626,WN,Southwest Airlines
2019,1,"Charlotte, NC",NC,0,"Miami, FL (Metropolitan Area)",FL,1,CLT,MIA,272.68,650,465,AA,"American Airlines, Inc.",0.9527,DL,"Delta Air Lines, Inc."
2019,1,"New York City, NY (Metropolitan Area)",NY,1,"San Francisco, CA (Metropolitan Area)",CA,1,EWR,OAK,183.33,2619,126,WN,Southwest Airlines,0.9042,NK,"Spirit Airlines, Inc."
2019,1,"Austin, TX",TX,0,"Los Angeles, CA (Metropolitan Area)",CA,1,AUS,ONT,200.52,1242,118,WN,Southwest Airlines,0.5906,WN,Southwest Airlines
2019,1,"Los Angeles, CA (Metropolitan Area)",CA,1,"Philadelphia, PA",PA,0,BUR,PHL,264.99,2402,24,WN,Southwest Airlines,0.5117,WN,Southwest Airlines
2019,1,"New York City, NY (Metropolitan Area)",NY,1,"Savannah, GA",GA,0,SWF,SAV,166.79,756,3,AA,"American Airlines, Inc.",0.9643,DL,"Delta Air Lines, Inc."
2019,1,"Key West, FL",FL,0,"New York City, NY (Metropolitan Area)",NY,1,EYW,SWF,260.75,1248,0,AA,"American Airlines, Inc.",0.5,AA,"American Airlines, Inc."
2019,1,"Dallas/Fort Worth, TX",TX,0,"Phoenix, AZ",AZ,0,DAL,PHX,200.01,879,909,WN,Southwest Airlines,0.9983,WN,Southwest Airlines
2019,1,"Buffalo, NY",NY,0,"New York City, NY (Metropolitan Area)",NY,1,BUF,LGA,138.63,326,240,DL,"Delta Air Lines, Inc.",0.9556,DL,"Delta Air Lines, Inc."
2019,1,"Boston, MA (Metropolitan Area)",MA,1,"Los Angeles, CA (Metropolitan Area)",CA,1,BOS,ONT,287.01,2611,43,AA,"American Airlines, Inc.",0.4,WN,Southwest Airlines
2019,1,"Chicago, IL",IL,0,"Detroit, MI",MI,0,MDW,DTW,173.36,235,302,WN,Southwest Airlines,0.5272,WN,Southwest Airlines
2019,1,"Jacksonville, FL",FL,0,"New York City, NY (Metropolitan Area)",NY,1,JAX,ISP,205.39,869,17,WN,Southwest Airlines,0.8774,WN,Southwest Airlines
2019,1,"Charleston, SC",SC,0,"New York City, NY (Metropolitan Area)",NY,1,CHS,ISP,167.62,677,11,WN,Southwest Airlines,0.9394,WN,Southwest Airlines
2019,1,"Indianapolis, IN",IN,0,"Los Angeles, CA (Metropolitan Area)",CA,1,IND,LAX,253.81,1814,611,AA,"American Airlines, Inc.",0.421,WN,Southwest Airlines
2019,1,"Los Angeles, CA (Metropolitan Area)",CA,1,"New York City, NY (Metropolitan Area)",NY,1,SNA,JFK,336.76,2510,65,AA,"American Airlines, Inc.",0.4727,AA,"American Airlines, Inc."
2019,1,"Los Angeles, CA (Metropolitan Area)",CA,1,"Oklahoma City, OK",OK,0,SNA,OKC,246.73,1187,67,WN,Southwest Airlines,0.5174,WN,Southwest Airlines
2019,1,"Greenville/Spartanburg, SC",SC,0,"Washington, DC (Metropolitan Area)",DC,1,GSP,IAD,191.94,426,61,UA,"United Air Lines, Inc.",0.8822,UA,"United Air Lines, Inc."
2019,1,"Miami, FL (Metropolitan Area)",FL,1,"Syracuse, NY",NY,0,FLL,SYR,176.62,1217,294,B6,Jetblue Airways Corporation,0.3947,G4,Allegiant Air LLC 
2019,1,"Chicago, IL",IL,0,"Denver, CO",CO,0,ORD,DEN,198.42,895,2005,UA,"United Air Lines, Inc.",0.5842,AA,"American Airlines, Inc."
2019,1,"Cleveland, OH (Metropolitan Area)",OH,1,"New York City, NY (Metropolitan Area)",NY,1,CLE,JFK,210.89,459,179,DL,"Delta Air Lines, Inc.",0.615,AA,"American Airlines, Inc."
2019,1,"Houston, TX",TX,0,"Orlando, FL",FL,0,HOU,MCO,193.04,854,624,WN,Southwest Airlines,0.9767,WN,Southwest Airlines
2019,1,"Los Angeles, CA (Metropolitan Area)",CA,1,"Reno, NV",NV,0,BUR,RNO,172.35,415,53,WN,Southwest Airlines,0.9558,WN,Southwest Airlines
2019,1,"Hartford, CT",CT,0,"Los Angeles, CA (Metropolitan Area)",CA,1,BDL,LAX,314.7,2527,327,AA,"American Airlines, Inc.",0.4893,WN,Southwest Airlines
2019,1,"Chicago, IL",IL,0,"Sarasota/Bradenton, FL",FL,0,MDW,SRQ,339.01,1050,6,DL,"Delta Air Lines, Inc.",1,DL,"Delta Air Lines, Inc."
2019,1,"Las Vegas, NV",NV,0,"New York City, NY (Metropolitan Area)",NY,1,LAS,SWF,304.14,2282,6,AA,"American Airlines, Inc.",0.6471,AA,"American Airlines, Inc."
2019,1,"Las Vegas, NV",NV,0,"Phoenix, AZ",AZ,0,LAS,PHX,153.67,276,1726,WN,Southwest Airlines,0.7539,WN,Southwest Airlines
2019,1,"Boston, MA (Metropolitan Area)",MA,1,"Tampa, FL (Metropolitan Area)",FL,1,BOS,TPA,179.86,1204,1813,B6,Jetblue Airways Corporation,0.526,DL,"Delta Air Lines, Inc."
2019,1,"Miami, FL (Metropolitan Area)",FL,1,"New York City, NY (Metropolitan Area)",NY,1,MIA,EWR,221.91,1139,1923,UA,"United Air Lines, Inc.",0.6798,AA,"American Airlines, Inc."
2019,1,"Knoxville, TN",TN,0,"Miami, FL (Metropolitan Area)",FL,1,TYS,MIA,207.91,724,107,AA,"American Airlines, Inc.",0.858,AA,"American Airlines, Inc."
2019,1,"Houston, TX",TX,0,"New Orleans, LA",LA,0,IAH,MSY,206.01,305,552,UA,"United Air Lines, Inc.",0.9213,NK,"Spirit Airlines, Inc."
2019,1,"San Antonio, TX",TX,0,"San Francisco, CA (Metropolitan Area)",CA,1,SAT,SFO,261.03,1482,199,UA,"United Air Lines, Inc.",0.4392,WN,Southwest Airlines
2019,1,"Boston, MA (Metropolitan Area)",MA,1,"San Diego, CA",CA,0,BOS,SAN,282.11,2588,1015,B6,Jetblue Airways Corporation,0.4255,AA,"American Airlines, Inc."
2019,1,"Chicago, IL",IL,0,"Los Angeles, CA (Metropolitan Area)",CA,1,MDW,LAX,166.74,1750,952,WN,Southwest Airlines,0.972,WN,Southwest Airlines
2019,1,"San Francisco, CA (Metropolitan Area)",CA,1,"Tampa, FL (Metropolitan Area)",FL,1,OAK,TPA,256.06,2393,73,WN,Southwest Airlines,0.7565,WN,Southwest Airlines
2019,1,"Indianapolis, IN",IN,0,"San Francisco, CA (Metropolitan Area)",CA,1,IND,SJC,295.64,1943,70,WN,Southwest Airlines,0.4211,WN,Southwest Airlines
2019,1,"Charlotte, NC",NC,0,"Tampa, FL (Metropolitan Area)",FL,1,CLT,TPA,266.41,507,487,AA,"American Airlines, Inc.",0.8821,F9,"Frontier Airlines, Inc."
2019,1,"Chicago, IL",IL,0,"Oklahoma City, OK",OK,0,ORD,OKC,226.22,693,190,AA,"American Airlines, Inc.",0.5654,UA,"United Air Lines, Inc."
2019,1,"San Francisco, CA (Metropolitan Area)",CA,1,"Seattle, WA",WA,0,SFO,SEA,165.67,696,3044,AS,"Alaska Airlines, Inc.",0.6053,AS,"Alaska Airlines, Inc."
2019,1,"Houston, TX",TX,0,"Philadelphia, PA",PA,0,HOU,PHL,219.31,1336,122,WN,Southwest Airlines,0.8389,WN,Southwest Airlines
2019,1,"Richmond, VA",VA,0,"Tampa, FL (Metropolitan Area)",FL,1,RIC,PIE,89.26,731,59,G4,Allegiant Air LLC ,1,G4,Allegiant Air LLC 
2019,1,"Boston, MA (Metropolitan Area)",MA,1,"Dallas/Fort Worth, TX",TX,0,PVD,DFW,283.91,1562,70,AA,"American Airlines, Inc.",0.7116,AA,"American Airlines, Inc."
2019,1,"Cleveland, OH (Metropolitan Area)",OH,1,"Tampa, FL (Metropolitan Area)",FL,1,CLE,PIE,97.01,932,37,G4,Allegiant Air LLC ,1,G4,Allegiant Air LLC 
2019,1,"Charleston, SC",SC,0,"Los Angeles, CA (Metropolitan Area)",CA,1,CHS,BUR,290.12,2206,4,WN,Southwest Airlines,0.625,WN,Southwest Airlines
